"","variant","period","lower_inf_thresh","heterogen_vl","heterogen_contacts","sampling_freq","prop_self_iso_test","name","Median","lo","hi","heterogen_label"
"1","wild","Pre-pandemic",FALSE,"Homogeneous viral load","Heterogeneous contacts",NA,0,"size",0.810751729475793,0.769265199052297,0.856746839908445,"Equal viral load, overdispersed contacts"
"2","wild","Pre-pandemic",FALSE,"Heterogeneous viral load","Homogeneous contacts",NA,0,"size",1.70852739665048,1.55977019627725,1.87194407216285,"Variable viral load, Poisson contacts"
"3","wild","Pre-pandemic",FALSE,"Heterogeneous viral load","Heterogeneous contacts",NA,0,"size",0.567545075409355,0.541495213097813,0.594338240089818,"Variable viral load, overdispersed contacts"
"4","wild","1st lockdown",FALSE,"Homogeneous viral load","Heterogeneous contacts",NA,0,"size",0.274545291972247,0.210784694930279,0.349018793987392,"Equal viral load, overdispersed contacts"
"5","wild","1st lockdown",FALSE,"Heterogeneous viral load","Homogeneous contacts",NA,0,"size",0.853156991521633,0.728667286793453,1.03556629582255,"Variable viral load, Poisson contacts"
"6","wild","1st lockdown",FALSE,"Heterogeneous viral load","Heterogeneous contacts",NA,0,"size",0.296159510283613,0.252748307771188,0.354131286214886,"Variable viral load, overdispersed contacts"
"7","wild","1st lockdown easing",FALSE,"Homogeneous viral load","Heterogeneous contacts",NA,0,"size",0.130320749362101,0.108573529875311,0.154996914401521,"Equal viral load, overdispersed contacts"
"8","wild","1st lockdown easing",FALSE,"Heterogeneous viral load","Homogeneous contacts",NA,0,"size",1.10171455257838,0.954881096567652,1.29089551791895,"Variable viral load, Poisson contacts"
"9","wild","1st lockdown easing",FALSE,"Heterogeneous viral load","Heterogeneous contacts",NA,0,"size",0.170108248558833,0.148344313952772,0.197644047795096,"Variable viral load, overdispersed contacts"
"10","wild","Relaxed restrictions",FALSE,"Homogeneous viral load","Heterogeneous contacts",NA,0,"size",0.170787216154595,0.154362969627893,0.188668872598443,"Equal viral load, overdispersed contacts"
"11","wild","Relaxed restrictions",FALSE,"Heterogeneous viral load","Homogeneous contacts",NA,0,"size",1.49389942010468,1.28995280741276,1.73757670253957,"Variable viral load, Poisson contacts"
"12","wild","Relaxed restrictions",FALSE,"Heterogeneous viral load","Heterogeneous contacts",NA,0,"size",0.197257368224851,0.177645420618351,0.217101910066386,"Variable viral load, overdispersed contacts"
"13","wild","School reopening",FALSE,"Homogeneous viral load","Heterogeneous contacts",NA,0,"size",0.131067625584737,0.116754143786457,0.147372899314667,"Equal viral load, overdispersed contacts"
"14","wild","School reopening",FALSE,"Heterogeneous viral load","Homogeneous contacts",NA,0,"size",1.62398997264955,1.43926530162084,1.87338438405965,"Variable viral load, Poisson contacts"
"15","wild","School reopening",FALSE,"Heterogeneous viral load","Heterogeneous contacts",NA,0,"size",0.157444440133786,0.14439462478031,0.170685301752706,"Variable viral load, overdispersed contacts"
"16","wild","2nd lockdown",FALSE,"Homogeneous viral load","Heterogeneous contacts",NA,0,"size",0.121569611444265,0.11156521528369,0.132550680444748,"Equal viral load, overdispersed contacts"
"17","wild","2nd lockdown",FALSE,"Heterogeneous viral load","Homogeneous contacts",NA,0,"size",1.3767584295127,1.17339719991753,1.59421548880783,"Variable viral load, Poisson contacts"
"18","wild","2nd lockdown",FALSE,"Heterogeneous viral load","Heterogeneous contacts",NA,0,"size",0.129190683689874,0.114097957389966,0.146921214491668,"Variable viral load, overdispersed contacts"
"19","wild","2nd lockdown easing",FALSE,"Homogeneous viral load","Heterogeneous contacts",NA,0,"size",0.126772792518617,0.116810547985652,0.137967886472157,"Equal viral load, overdispersed contacts"
"20","wild","2nd lockdown easing",FALSE,"Heterogeneous viral load","Homogeneous contacts",NA,0,"size",1.60126378243293,1.40021357995722,1.86125298157561,"Variable viral load, Poisson contacts"
"21","wild","2nd lockdown easing",FALSE,"Heterogeneous viral load","Heterogeneous contacts",NA,0,"size",0.154951211189939,0.142976726294285,0.167385852816643,"Variable viral load, overdispersed contacts"
